NAV,NAV date
25.13,27-Mar-18
25.15,28-Mar-18
25.71,02-Apr-18
25.87,03-Apr-18
25.66,04-Apr-18
26.18,05-Apr-18
26.34,06-Apr-18
26.43,09-Apr-18
26.37,10-Apr-18
26.6,11-Apr-18
26.73,12-Apr-18
26.71,13-Apr-18
26.95,16-Apr-18
26.99,17-Apr-18
26.85,18-Apr-18
26.94,19-Apr-18
27.01,20-Apr-18
27.13,23-Apr-18
27.2,24-Apr-18
27.14,25-Apr-18
27.37,26-Apr-18
27.33,27-Apr-18
27.62,30-Apr-18
27.63,02-May-18
27.33,03-May-18
27.21,04-May-18
27.26,07-May-18
27.35,08-May-18
27.23,09-May-18
27.1,10-May-18
27.25,11-May-18
27.17,14-May-18
27.17,15-May-18
27.13,16-May-18
27.23,17-May-18
27.23,18-May-18
26.9,21-May-18
27.1,22-May-18
26.81,23-May-18
26.97,24-May-18
27.34,25-May-18
27.49,28-May-18
27.51,29-May-18
27.64,30-May-18
27.77,31-May-18
27.47,01-Jun-18
27.18,04-Jun-18
27.04,05-Jun-18
27.34,06-Jun-18
27.47,07-Jun-18
27.64,08-Jun-18
27.73,11-Jun-18
27.88,12-Jun-18
27.86,13-Jun-18
27.84,14-Jun-18
27.84,15-Jun-18
27.67,18-Jun-18
27.47,19-Jun-18
27.59,20-Jun-18
27.48,21-Jun-18
27.72,22-Jun-18
27.64,25-Jun-18
27.63,26-Jun-18
27.47,27-Jun-18
27.23,28-Jun-18
27.4,29-Jun-18
27.4,02-Jul-18
27.62,03-Jul-18
27.81,04-Jul-18
27.92,05-Jul-18
28.01,06-Jul-18
28.26,09-Jul-18
28.51,10-Jul-18
28.46,11-Jul-18
28.59,12-Jul-18
28.59,13-Jul-18
28.3,16-Jul-18
28.47,17-Jul-18
28.57,18-Jul-18
28.35,19-Jul-18
28.83,20-Jul-18
29.05,23-Jul-18
29.17,24-Jul-18
29.21,25-Jul-18
29.11,26-Jul-18
29.21,27-Jul-18
29.12,30-Jul-18
29.24,31-Jul-18
29.25,01-Aug-18
28.9,02-Aug-18
29.11,03-Aug-18
29.11,06-Aug-18
29.12,07-Aug-18
29.22,08-Aug-18
29.3,09-Aug-18
29.17,10-Aug-18
28.94,13-Aug-18
29.24,14-Aug-18
29.09,16-Aug-18
29.33,17-Aug-18
29.43,20-Aug-18
29.44,21-Aug-18
29.45,23-Aug-18
29.44,24-Aug-18
29.72,27-Aug-18
29.84,28-Aug-18
29.86,29-Aug-18
29.76,30-Aug-18
29.75,31-Aug-18
29.49,03-Sep-18
29.22,04-Sep-18
29.04,05-Sep-18
29.1,06-Sep-18
29.13,07-Sep-18
28.62,10-Sep-18
28.31,11-Sep-18
28.38,12-Sep-18
28.8,14-Sep-18
28.43,17-Sep-18
28.17,18-Sep-18
27.96,19-Sep-18
27.67,21-Sep-18
27.08,24-Sep-18
27.35,25-Sep-18
27.17,26-Sep-18
26.87,27-Sep-18
26.7,28-Sep-18
26.55,01-Oct-18
26.09,03-Oct-18
25.64,04-Oct-18
25.17,05-Oct-18
25.05,08-Oct-18
25.16,09-Oct-18
25.71,10-Oct-18
25.08,11-Oct-18
25.69,12-Oct-18
25.69,15-Oct-18
25.79,16-Oct-18
25.3,17-Oct-18
25.06,19-Oct-18
24.86,22-Oct-18
24.49,23-Oct-18
24.88,24-Oct-18
24.78,25-Oct-18
24.65,26-Oct-18
24.95,29-Oct-18
24.83,30-Oct-18
25.17,31-Oct-18
25.2,01-Nov-18
25.66,02-Nov-18
25.6,05-Nov-18
25.53,06-Nov-18
25.73,09-Nov-18
25.4,12-Nov-18
25.51,13-Nov-18
25.37,14-Nov-18
